,index,post_class,prob
30406,82,561,0.1
30445,554,561,0.1
30520,446,561,0.1
30525,458,561,1.0
30550,393,561,0.1
30649,700,561,1.0
30651,237,561,1.0
30920,899,14,0.1
31035,599,14,0.1
31110,505,14,0.1
31288,668,14,0.1
31405,381,357,0.1
31520,408,357,0.1
31612,597,357,0.1
31624,570,357,0.1
31661,511,357,0.1
31665,372,357,0.1
31695,93,357,0.1
31704,640,357,0.1
31744,714,357,0.1
31756,452,357,0.1
31759,66,357,0.1
31769,751,357,0.1
31772,892,357,0.1
31780,455,357,0.1
31798,114,357,1.0
31833,716,357,1.0
31854,574,357,1.0
31870,556,357,1.0
31881,813,357,0.1
31896,344,357,0.1
31906,808,357,1.0
31955,882,357,0.1
31961,850,357,0.1
31997,432,357,1.0
32010,606,357,0.1
32123,564,430,0.1
32410,301,430,0.1
32487,544,430,0.1
32552,81,430,0.1
32602,326,430,0.1
33201,697,96,0.1
33211,730,96,0.1
33225,464,96,0.1
33376,916,96,0.1
33411,646,96,0.1
33847,152,412,0.1
33897,311,412,0.1
33909,284,412,0.1
33932,406,412,0.1
33996,317,412,0.1
34439,669,620,0.1
34459,270,620,0.1
34477,69,620,0.1
34615,271,620,0.1
34672,37,620,0.1
34756,356,620,1.0
34782,305,620,0.1
34798,446,620,0.1
34831,870,620,0.1
34839,649,620,0.1
34845,658,620,0.1
34846,192,620,0.1
34863,145,620,0.1
34896,734,620,0.1
35126,342,638,0.1
35134,45,638,0.1
35212,364,638,0.1
35247,674,638,0.1
35317,276,638,0.1
35502,898,638,1.0
35521,362,638,0.1
35563,195,638,0.1
35564,108,638,0.1
35577,610,638,0.1
35644,902,638,0.1
35648,243,638,0.1
35903,69,87,0.1
35956,357,87,0.1
36054,616,87,0.1
36073,576,87,0.1
36145,490,87,0.1
36168,824,87,0.1
36196,315,87,0.1
36262,178,87,0.1
36294,617,87,0.1
36297,153,87,0.1
36328,283,87,0.1
36428,29,29,0.1
36743,276,29,0.1
36748,139,29,0.1
36752,887,29,0.1
36756,764,29,0.1
36864,25,29,0.1
36890,351,29,1.0
36949,363,29,0.1
36961,860,29,0.1
36970,870,29,0.1
36971,772,29,0.1
36998,639,29,0.1
37006,14,29,0.1
37048,853,29,0.1
37230,648,613,0.1
37284,439,613,0.1
37389,420,613,0.1
37414,875,613,0.1
37421,579,613,0.1
37443,320,613,0.1
37448,714,613,0.1
37650,446,613,0.1
37711,639,613,0.1
37780,703,613,0.1
37950,731,373,0.1
38016,837,373,0.1
38075,316,373,0.1
38101,422,373,0.1
38134,579,373,0.1
38186,751,373,0.1
38208,538,373,0.1
38332,783,373,0.1
38369,921,373,0.1
38423,643,373,0.1
38424,639,373,0.1
38871,586,259,0.1
39150,155,259,0.1
39170,421,259,0.1
39413,905,747,0.1
39573,273,747,0.1
39587,714,747,0.1
39650,122,747,0.1
39658,73,747,0.1
39668,506,747,0.1
39733,824,747,0.1
39765,116,747,0.1
39848,673,747,1.0
39876,212,747,0.1
39898,198,747,1.0
39899,762,747,0.1
39916,707,747,0.1
40149,519,559,0.1
40252,677,559,0.1
40459,803,559,0.1
40530,863,559,0.1
40584,181,559,0.1
40591,741,559,1.0
40793,746,809,0.1
40902,899,809,0.1
40978,578,809,0.1
41158,326,809,0.1
41348,902,809,0.1
41679,301,185,0.1
41682,625,185,0.1
41715,251,185,0.1
41744,767,185,0.1
41808,891,185,0.1
41825,124,185,0.1
41995,107,185,0.1
42048,689,185,0.1
42356,511,588,0.1
42383,797,588,0.1
42426,782,588,0.1
42445,532,588,0.1
